DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc,Premis Desc,Weapon Desc,Status Desc,LOCATION,LAT,LON,Crm Type
201412163,06/11/2020 12:00:00 AM,06/11/2020 12:00:00 AM,350,Pacific,BURGLARY FROM VEHICLE,STREET,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,200    REES                         ST,33.9569,-118.4473,BURGLARY
202113353,08/31/2020 12:00:00 AM,08/31/2020 12:00:00 AM,1700,Topanga,VIOLATION OF COURT ORDER,SINGLE FAMILY DWELLING,UNKNOWN WEAPON/OTHER WEAPON,Adult Arrest,23000    SATICOY                      ST,34.213,-118.6458,COURT_ORDER
201917640,12/02/2020 12:00:00 AM,12/02/2020 12:00:00 AM,1140,Mission,BATTERY - SIMPLE ASSAULT,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,14900    POLK                         ST,34.3089,-118.4613,ASSAULT
201914494,09/14/2020 12:00:00 AM,09/14/2020 12:00:00 AM,700,Mission,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",DAM/RESERVOIR,AIR PISTOL/REVOLVER/RIFLE/BB GUN,Invest Cont,GLADSTONE,34.299,-118.4153,ASSAULT
201904416,01/08/2020 12:00:00 AM,01/08/2020 12:00:00 AM,2100,Mission,BATTERY - SIMPLE ASSAULT,RESTAURANT/FAST FOOD,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,8200 N  SEPULVEDA                    BL,34.2184,-118.4698,ASSAULT
201419844,11/06/2020 12:00:00 AM,11/06/2020 12:00:00 AM,1745,Pacific,BATTERY - SIMPLE ASSAULT,OTHER/OUTSIDE,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,OCEAN FRONT WALK,33.9874,-118.4741,ASSAULT
202108355,04/17/2020 12:00:00 AM,04/16/2020 12:00:00 AM,1600,Topanga,VEHICLE - STOLEN,DRIVEWAY,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,22600    QUINTA                       RD,34.1531,-118.6194,VEHICLE
201517126,11/02/2020 12:00:00 AM,10/30/2020 12:00:00 AM,1230,N Hollywood,BURGLARY,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,4900    VINELAND                     AV,34.159,-118.3703,BURGLARY
201809081,04/02/2020 12:00:00 AM,04/02/2020 12:00:00 AM,1630,Southeast,BATTERY - SIMPLE ASSAULT,DRIVEWAY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,100 W  IMPERIAL                     HY,33.9347,-118.2761,ASSAULT
201321853,12/29/2020 12:00:00 AM,12/27/2020 12:00:00 AM,1800,Newton,VEHICLE - STOLEN,STREET,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,4200    WOODLAWN                     AV,34.0066,-118.2728,VEHICLE
201805731,02/01/2020 12:00:00 AM,02/01/2020 12:00:00 AM,1330,Southeast,INTIMATE PARTNER - SIMPLE ASSAULT,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,10100 S  BROADWAY,33.9447,-118.2784,DOMESTIC
202018701,12/22/2020 12:00:00 AM,12/22/2020 12:00:00 AM,150,Olympic,INTIMATE PARTNER - SIMPLE ASSAULT,PARKING LOT,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,2300 W  PICO                         BL,34.0499,-118.2879,DOMESTIC
202017008,11/10/2020 12:00:00 AM,11/07/2020 12:00:00 AM,1700,Olympic,BURGLARY,TRADE SCHOOL (MEDICAL-TECHNICAL-BUSINESS)*,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,2900    WILSHIRE                     BL,34.0652,-118.2878,BURGLARY
201508263,03/30/2020 12:00:00 AM,03/30/2020 12:00:00 AM,1630,N Hollywood,BATTERY - SIMPLE ASSAULT,DRIVEWAY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,6900    SIMPSON                      AV,34.1958,-118.3889,ASSAULT
201311118,05/20/2020 12:00:00 AM,05/19/2020 12:00:00 AM,1830,Newton,BURGLARY FROM VEHICLE,SINGLE FAMILY DWELLING,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,100 W  71ST                         ST,33.9756,-118.2739,BURGLARY
201816741,09/05/2020 12:00:00 AM,09/05/2020 12:00:00 AM,1740,Southeast,ARSON,"VEHICLE, PASSENGER/TRUCK",UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,102ND                        ST,33.944,-118.2609,VANDALISM_ARSON
201604649,01/15/2020 12:00:00 AM,01/15/2020 12:00:00 AM,1700,Foothill,THEFT PLAIN - PETTY ($950 & UNDER),STREET,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,OLINDA,34.2178,-118.373,THEFT
202112082,07/28/2020 12:00:00 AM,07/25/2020 12:00:00 AM,1400,Topanga,VIOLATION OF RESTRAINING ORDER,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",UNKNOWN WEAPON/OTHER WEAPON,Adult Other,23100    AVENUE SAN LUIS,34.1615,-118.6311,COURT_ORDER
201806232,02/09/2020 12:00:00 AM,02/08/2020 12:00:00 AM,1800,Southeast,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),STREET,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,700 E  97TH                         ST,33.9484,-118.263,VEHICLE
201711611,07/26/2020 12:00:00 AM,07/26/2020 12:00:00 AM,2130,Devonshire,INTIMATE PARTNER - SIMPLE ASSAULT,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,20800    LASSEN                       ST,34.2536,-118.5913,DOMESTIC
201411760,05/27/2020 12:00:00 AM,05/26/2020 12:00:00 AM,2100,Pacific,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),DRIVEWAY,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,4000    TIVOLI                       AV,33.9925,-118.4402,VEHICLE
202116043,11/17/2020 12:00:00 AM,10/31/2020 12:00:00 AM,1300,Topanga,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),PARKING LOT,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,6600    TOPANGA CANYON               BL,34.1904,-118.6059,VEHICLE
201811570,05/23/2020 12:00:00 AM,05/23/2020 12:00:00 AM,1610,Southeast,BATTERY - SIMPLE ASSAULT,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,MANCHESTER                   AV,33.9555,-118.2871,ASSAULT
201913374,08/17/2020 12:00:00 AM,08/16/2020 12:00:00 AM,1100,Mission,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)","VEHICLE, PASSENGER/TRUCK",UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,8600    CEDROS                       AV,34.2265,-118.4565,VANDALISM_ARSON
